x1,x2,x3,y1,y2,y3,y4,y5,y6,y7,y8,y9,,,,,,,,,,,,,,
0.363557425,1.345802211,4,0.123374204,1.585985431,0.109512117,0.890487883,1.75E-20,0.15139663,4.44E-05,0.848559,0.493496817,,,,,,,,,,,,,,
0.363557425,1.345802211,4.1,0.123372517,1.585987117,0.109489467,0.890510533,1.75E-20,0.151398347,4.36E-05,0.848558097,0.505827317,,,,,,,,,,,,,,
0.363557425,1.345802211,4.2,0.123371015,1.585988619,0.109469319,0.890530681,1.74E-20,0.151399875,4.28E-05,0.848557294,0.518158264,,,,,,,,,,,,,,
0.363557425,1.345802211,4.3,0.123369688,1.585989947,0.109451501,0.890548499,1.75E-20,0.151401226,4.22E-05,0.848556583,0.530489656,,,,,,,,,,,,,,
0.363557425,1.362214433,2.5,0.123430885,1.602340972,0.110272371,0.889727629,1.67E-20,0.149788845,7.10E-05,0.850140174,0.308577214,,,,,,,,,,,,,,
0.363557425,1.362214433,3.1,0.123395402,1.602376456,0.109796517,0.890203483,1.68E-20,0.149824614,5.40E-05,0.850121349,0.382525744,,,,,,,,,,,,,,
0.363557425,1.362214433,3.2,0.123391269,1.602380589,0.10974107,0.89025893,1.69E-20,0.149828781,5.21E-05,0.850119156,0.394852058,,,,,,,,,,,,,,
0.363557425,1.362214433,3.3,0.123387518,1.602384339,0.109690759,0.890309241,1.69E-20,0.149832561,5.03E-05,0.850117166,0.407178811,,,,,,,,,,,,,,
0.363557425,1.362214433,3.4,0.123384116,1.602387742,0.109645111,0.890354889,1.69E-20,0.149835991,4.86E-05,0.850115361,0.419505994,,,,,,,,,,,,,,
0.363557425,1.362214433,3.5,0.123381031,1.602390825,0.109603712,0.890396288,1.72E-20,0.149839101,4.72E-05,0.850113724,0.431833608,,,,,,,,,,,,,,
0.363557425,1.362214433,3.6,0.123378233,1.602393622,0.109566178,0.890433822,1.69E-20,0.149841921,4.58E-05,0.85011224,0.444161639,,,,,,,,,,,,,,
0.363557425,1.362214433,3.7,0.123375703,1.602396153,0.109532229,0.890467771,1.73E-20,0.149844471,4.46E-05,0.850110898,0.456490103,,,,,,,,,,,,,,
0.363557425,1.362214433,3.8,0.123373416,1.602398442,0.109501529,0.890498471,1.74E-20,0.149846777,4.35E-05,0.850109684,0.468818978,,,,,,,,,,,,,,
0.363557425,1.362214433,3.9,0.123371351,1.602400506,0.109473833,0.890526167,1.75E-20,0.149848858,4.26E-05,0.850108589,0.481148272,,,,,,,,,,,,,,
0.363557425,1.362214433,4,0.123369494,1.602402361,0.10944891,0.89055109,1.69E-20,0.14985073,4.17E-05,0.850107604,0.493477978,,,,,,,,,,,,,,
0.363557425,1.362214433,4.1,0.123367829,1.602404028,0.109426556,0.890573444,1.75E-20,0.149852409,4.09E-05,0.85010672,0.505808097,,,,,,,,,,,,,,
0.363557425,1.362214433,4.2,0.123366341,1.602405517,0.109406585,0.890593415,1.76E-20,0.149853909,4.02E-05,0.850105931,0.518138631,,,,,,,,,,,,,,
0.363557425,1.362214433,4.3,0.123365018,1.602406839,0.109388833,0.890611167,1.76E-20,0.149855242,3.95E-05,0.850105229,0.530469578,,,,,,,,,,,,,,
0.363557425,1.378626656,2.5,0.123424421,1.618759658,0.1101857,0.8898143,1.64E-20,0.148276622,6.72E-05,0.851656173,0.308561053,,,,,,,,,,,,,,
0.363557425,1.378626656,2.6,0.123417256,1.618766822,0.110089628,0.889910372,1.64E-20,0.148283778,6.38E-05,0.851652403,0.320884867,,,,,,,,,,,,,,
0.363557425,1.378626656,2.7,0.123410772,1.618773306,0.110002677,0.889997323,1.68E-20,0.148290254,6.08E-05,0.851648992,0.333209086,,,,,,,,,,,,,,
0.363557425,1.378626656,2.8,0.123404896,1.618779183,0.109923859,0.890076141,1.62E-20,0.148296123,5.80E-05,0.8516459,0.345533708,,,,,,,,,,,,,,
0.363557425,1.378626656,2.9,0.123399565,1.618784514,0.10985236,0.89014764,1.66E-20,0.148301447,5.55E-05,0.851643096,0.357858739,,,,,,,,,,,,,,
0.363557425,1.378626656,3,0.123394726,1.618789353,0.109787453,0.890212547,1.67E-20,0.14830628,5.32E-05,0.85164055,0.370184178,,,,,,,,,,,,,,
0.363557425,1.378626656,3.2,0.123386339,1.618797739,0.109674929,0.890325071,1.68E-20,0.148314657,4.92E-05,0.851636137,0.394836283,,,,,,,,,,,,,,
0.363557425,1.378626656,3.5,0.123376416,1.618807664,0.109541788,0.890458212,1.71E-20,0.148324568,4.45E-05,0.851630917,0.431817456,,,,,,,,,,,,,,
0.363557425,1.378626656,3.6,0.123373695,1.618810383,0.109505285,0.890494715,1.71E-20,0.148327284,4.32E-05,0.851629486,0.444145303,,,,,,,,,,,,,,
0.363557425,1.378626656,3.8,0.123368993,1.618815086,0.109442175,0.890557825,1.73E-20,0.148331981,4.10E-05,0.851627012,0.468802172,,,,,,,,,,,,,,
0.363557425,1.378626656,3.9,0.123366971,1.618817108,0.109415042,0.890584958,1.75E-20,0.148334,4.01E-05,0.851625948,0.481131186,,,,,,,,,,,,,,
0.363557425,1.378626656,4,0.123365146,1.618818933,0.109390555,0.890609445,1.71E-20,0.148335823,3.92E-05,0.851624988,0.493460583,,,,,,,,,,,,,,
0.363557425,1.378626656,4.1,0.123363504,1.618820575,0.109368518,0.890631482,1.72E-20,0.148337463,3.84E-05,0.851624125,0.505790367,,,,,,,,,,,,,,
0.363557425,1.378626656,4.3,0.123360717,1.618823361,0.109331109,0.890668891,1.74E-20,0.148340246,3.71E-05,0.851622658,0.530451083,,,,,,,,,,,,,,
0.363557425,1.395038878,2.5,0.123418372,1.635177928,0.11010459,0.88989541,1.63E-20,0.146794356,6.37E-05,0.853141944,0.308545931,,,,,,,,,,,,,,
0.363557425,1.395038878,2.6,0.123411509,1.635184792,0.110012551,0.889987449,1.71E-20,0.146801148,6.05E-05,0.853138363,0.320869922,,,,,,,,,,,,,,
0.363557425,1.395038878,2.7,0.123405286,1.635191014,0.1099291,0.8900709,1.65E-20,0.146807306,5.76E-05,0.853135117,0.333194272,,,,,,,,,,,,,,
0.363557425,1.395038878,2.8,0.123399639,1.635196661,0.109853358,0.890146642,1.66E-20,0.146812895,5.49E-05,0.85313217,0.345518989,,,,,,,,,,,,,,
0.363557425,1.395038878,2.9,0.12339451,1.635201792,0.109784554,0.890215446,1.74E-20,0.146817971,5.25E-05,0.853129494,0.357844078,,,,,,,,,,,,,,
0.363557425,1.395038878,3,0.123389847,1.635206453,0.109721999,0.890278001,1.63E-20,0.146822585,5.04E-05,0.853127061,0.370169542,,,,,,,,,,,,,,
0.363557425,1.395038878,3.1,0.123385607,1.635210694,0.109665108,0.890334892,1.68E-20,0.146826782,4.84E-05,0.853124849,0.382495381,,,,,,,,,,,,,,
0.363557425,1.395038878,3.2,0.123381747,1.635214553,0.109613324,0.890386676,1.69E-20,0.146830601,4.66E-05,0.853122835,0.394821589,,,,,,,,,,,,,,
0.363557425,1.395038878,3.3,0.123378235,1.635218067,0.109566206,0.890433794,1.69E-20,0.146834077,4.49E-05,0.853121003,0.407148178,,,,,,,,,,,,,,
0.363557425,1.395038878,3.4,0.123375038,1.635221264,0.109523306,0.890476694,1.69E-20,0.14683724,4.34E-05,0.853119335,0.419475131,,,,,,,,,,,,,,
0.363557425,1.395038878,3.5,0.123372129,1.635224172,0.109484271,0.890515729,1.78E-20,0.146840119,4.21E-05,0.853117818,0.431802453,,,,,,,,,,,,,,
0.363557425,1.395038878,3.6,0.123369483,1.635226817,0.109448762,0.890551238,1.66E-20,0.146842738,4.08E-05,0.853116437,0.444130139,,,,,,,,,,,,,,
0.363557425,1.395038878,3.7,0.123367078,1.635229222,0.109416486,0.890583514,1.65E-20,0.146845118,3.97E-05,0.853115183,0.456458189,,,,,,,,,,,,,,
0.363557425,1.395038878,3.8,0.123364895,1.635231406,0.109387182,0.890612818,1.79E-20,0.146847279,3.87E-05,0.853114043,0.4687866,,,,,,,,,,,,,,
0.363557425,1.395038878,3.9,0.123362915,1.635233386,0.109360614,0.890639386,1.80E-20,0.146849237,3.78E-05,0.853113011,0.481115369,,,,,,,,,,,,,,
0.363557425,1.395038878,4,0.123361124,1.635235178,0.109336575,0.890663425,1.80E-20,0.14685101,3.69E-05,0.853112076,0.493444497,,,,,,,,,,,,,,
0.363557425,1.395038878,4.1,0.123359507,1.635236794,0.109314872,0.890685128,1.66E-20,0.14685261,3.62E-05,0.853111233,0.505773981,,,,,,,,,,,,,,
0.363557425,1.395038878,4.2,0.123358052,1.635238247,0.109295343,0.890704657,1.82E-20,0.14685405,3.55E-05,0.853110474,0.518103819,,,,,,,,,,,,,,
0.363557425,1.395038878,4.3,0.123356748,1.635239553,0.109277834,0.890722166,1.82E-20,0.146855341,3.49E-05,0.853109793,0.530434017,,,,,,,,,,,,,,
0.363557425,1.4114511,2.5,0.123412701,1.651595822,0.110028536,0.889971464,1.69E-20,0.145341189,6.04E-05,0.854598371,0.30853175,,,,,,,,,,,,,,
0.363557425,1.4114511,2.6,0.123406122,1.6516024,0.109940304,0.890059696,1.70E-20,0.145347641,5.74E-05,0.854594967,0.320855917,,,,,,,,,,,,,,
0.363557425,1.4114511,2.7,0.123400149,1.651608375,0.109860191,0.890139809,1.71E-20,0.145353499,5.46E-05,0.854591876,0.333180403,,,,,,,,,,,,,,
0.363557425,1.4114511,2.8,0.123394721,1.651613803,0.109787377,0.890212623,1.72E-20,0.145358822,5.21E-05,0.854589067,0.345505217,,,,,,,,,,,,,,
