x1,x2,x3
0.371211264,1.493512208,4
0.371211264,1.493512208,4.1
0.371211264,1.493512208,4.2
0.371211264,1.493512208,4.3
0.371211264,1.509924431,2.5
0.371211264,1.509924431,2.6
0.371211264,1.509924431,2.7
0.371211264,1.509924431,2.8
0.371211264,1.509924431,2.9
0.371211264,1.509924431,3
0.371211264,1.509924431,3.1
0.371211264,1.509924431,3.2
0.371211264,1.509924431,3.3
0.371211264,1.509924431,3.4
0.371211264,1.509924431,3.5
0.371211264,1.509924431,3.6
0.371211264,1.509924431,3.7
0.371211264,1.509924431,3.8
0.371211264,1.509924431,3.9
0.371211264,1.509924431,4
0.371211264,1.509924431,4.1
0.371211264,1.509924431,4.2
0.371211264,1.509924431,4.3
0.371211264,1.526336653,2.5
0.371211264,1.526336653,2.6
0.371211264,1.526336653,2.7
0.371211264,1.526336653,2.8
0.371211264,1.526336653,2.9
0.371211264,1.526336653,3
0.371211264,1.526336653,3.1
0.371211264,1.526336653,3.2
0.371211264,1.526336653,3.3
0.371211264,1.526336653,3.4
0.371211264,1.526336653,3.5
0.371211264,1.526336653,3.6
0.371211264,1.526336653,3.7
0.371211264,1.526336653,3.8
0.371211264,1.526336653,3.9
0.371211264,1.526336653,4
0.371211264,1.526336653,4.1
0.371211264,1.526336653,4.2
0.371211264,1.526336653,4.3
0.371211264,1.542748875,2.5
0.371211264,1.542748875,2.6
0.371211264,1.542748875,2.7
0.371211264,1.542748875,2.8
0.371211264,1.542748875,2.9
0.371211264,1.542748875,3
0.371211264,1.542748875,3.1
0.371211264,1.542748875,3.2
0.371211264,1.542748875,3.3
0.371211264,1.542748875,3.4
0.371211264,1.542748875,3.5
0.371211264,1.542748875,3.6
0.371211264,1.542748875,3.7
0.371211264,1.542748875,3.8
0.371211264,1.542748875,3.9
0.371211264,1.542748875,4
0.371211264,1.542748875,4.1
0.371211264,1.542748875,4.2
0.371211264,1.542748875,4.3
0.371211264,1.559161097,2.5
0.371211264,1.559161097,2.6
0.371211264,1.559161097,2.7
0.371211264,1.559161097,2.8
0.371211264,1.559161097,2.9
0.371211264,1.559161097,3
0.371211264,1.559161097,3.1
0.371211264,1.559161097,3.2
0.371211264,1.559161097,3.3
0.371211264,1.559161097,3.4
0.371211264,1.559161097,3.5
0.371211264,1.559161097,3.6
0.371211264,1.559161097,3.7
0.371211264,1.559161097,3.8
0.371211264,1.559161097,3.9
0.371211264,1.559161097,4
0.371211264,1.559161097,4.1
0.371211264,1.559161097,4.2
0.371211264,1.559161097,4.3
0.375038186,1.312977767,2.6
0.375038186,1.312977767,2.7
0.375038186,1.312977767,2.9
0.375038186,1.312977767,3
0.375038186,1.312977767,3.1
0.375038186,1.312977767,3.5
0.375038186,1.312977767,3.7
0.375038186,1.312977767,3.8
0.375038186,1.312977767,4
0.375038186,1.312977767,4.1
0.375038186,1.312977767,4.2
0.375038186,1.312977767,4.3
0.375038186,1.329389989,2.5
0.375038186,1.329389989,2.6
0.375038186,1.329389989,2.7
0.375038186,1.329389989,2.8
0.375038186,1.329389989,3
0.375038186,1.329389989,3.2
0.375038186,1.329389989,3.3
0.375038186,1.329389989,3.4
0.375038186,1.329389989,3.5
0.375038186,1.329389989,3.6
